snum,sname,course,bday,empno,cname,pid
55,Ashlen Caghy,Consumer Services,2019-06-13 20:40:46,64,Omba,36
56,Ethelbert Espinho,Consumer Non-Durables,2019-01-24 14:15:47,27,Agivu,48
57,Josias Salters,Basic Industries,2019-05-18 20:40:15,87,Quire,97
58,Fransisco Lindroos,Technology,2019-08-16 08:02:31,90,Skyba,39
59,Alexine Greenough,Finance,2019-07-09 03:26:32,59,Twitterbridge,21
60,Sunny Gallop,Finance,2019-03-13 00:52:48,38,Muxo,27
61,Clarance Lathaye,Consumer Services,2019-03-17 17:46:24,69,Ozu,18
62,Bryn Riddler,Finance,2019-10-11 09:59:10,58,Brainbox,70
63,Farly Jellard,Computer Science,2019-08-11 13:22:44,67,Trilia,47
64,Timothy Dulanty,Energy,2019-03-18 02:10:42,31,Dabtype,3
65,Paolo Stag,Health Care,2018-12-16 01:21:55,38,Voolia,12
66,Neill Blackborough,Capital Goods,2019-01-31 22:33:53,64,Linkbuzz,40
67,Roslyn Cullon,Consumer Services,2018-12-18 17:43:49,17,Voolia,58
68,Lanita Eayres,Finance,2019-03-15 12:41:50,59,Demivee,49
69,Jere Sacaze,Energy,2019-02-22 13:27:25,77,Innotype,73
70,Tanner Cracoe,Health Care,2019-08-18 11:31:32,82,Devbug,34
71,Vilma Kenyon,Energy,2018-12-17 20:37:37,15,Realpoint,42
72,Nils Baccus,Health Care,2019-11-03 21:15:27,91,Yoveo,96
73,Craig Hakewell,Computer Science,2019-09-01 04:36:15,9,Gabvine,95
74,Bertrando Sawford,Finance,2019-03-10 17:13:35,53,Oyope,24
75,Roley Hauch,Basic Industries,2019-08-28 00:32:25,45,Katz,2
76,Lincoln Furphy,Computer Science,2018-12-02 15:52:41,66,Voolia,9
77,Lyndell Kenan,Finance,2019-08-16 00:50:59,71,Quinu,52
78,Lynnea Eldin,Health Care,2019-04-03 13:16:04,47,Wikizz,14
79,Margarethe Gunstone,Finance,2019-03-20 16:59:16,52,Omba,36
80,Shannah Castagnone,Consumer Services,2019-08-31 22:51:24,70,Zooxo,11
81,Burr Whitewood,Technology,2019-08-12 02:59:04,1,Eare,10
82,Darla Sexten,Finance,2019-05-03 04:27:05,29,Vitz,38
83,Page Mogey,Capital Goods,2019-02-14 04:27:50,97,Photojam,56
84,Steffen Tournie,Finance,2019-09-26 23:01:54,14,Brainbox,86
85,Cleavland Proschek,Health Care,2019-06-03 05:04:26,65,Topicblab,20
86,Lisetta Rottenbury,Computer Science,2019-11-11 22:08:27,92,Youfeed,89
87,Parsifal Ondrusek,Computer Science,2019-06-28 05:13:54,84,Trilith,5
88,Kellie Eagle,Computer Science,2019-11-07 13:20:08,6,Youfeed,63
89,Jilleen Brugmann,Computer Science,2019-04-24 01:01:35,94,Voonix,53
90,Jackqueline Louca,Computer Science,2019-04-07 20:55:29,41,Dynabox,45
91,Dur Pearman,Technology,2019-05-14 20:17:48,42,Vitz,38
92,Ann-marie Chilton,Consumer Services,2019-06-02 09:28:59,40,Twitterbridge,21
93,Granger Yarnold,Miscellaneous,2019-10-22 11:36:28,69,Tagpad,46
94,Marina Ingleston,Capital Goods,2019-11-15 11:29:59,36,Vipe,91
95,Bartolomeo Dicky,Computer Science,2019-09-13 18:23:15,80,Tagcat,85
96,Fernanda Limbert,Technology,2018-12-14 01:28:38,29,Skyba,39
97,Solly Mower,Consumer Non-Durables,2019-01-23 22:11:17,8,Buzzdog,87
98,Valina Blackbrough,Computer Science,2019-05-13 05:32:39,34,Wikizz,14
99,Lara Darkins,Computer Science,2019-04-24 01:10:39,9,Skyba,39
100,Trish Timperley,Consumer Services,2019-04-13 00:29:22,49,Gabvine,95
